Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,84.279999,84.419998,82.900002,83.230003,77.008369,3167900
2018-01-03,83.059998,83.790001,82.839996,82.970001,76.767799,2690200
2018-01-04,82.820000,83.230003,82.150002,82.320000,76.166389,2475800
2018-01-05,82.510002,82.750000,81.349998,81.940002,75.814796,3827200
2018-01-08,81.980003,82.309998,81.720001,82.199997,76.055359,3560000
2018-01-09,82.029999,82.029999,80.959999,81.239998,75.167130,2781700
2018-01-10,80.779999,80.949997,79.919998,80.110001,74.121605,3227200
2018-01-11,79.510002,80.139999,79.000000,79.279999,73.353638,4087200
2018-01-12,79.000000,79.610001,78.550003,78.900002,73.002037,3211400
2018-01-16,79.089996,79.269997,78.209999,78.419998,72.557922,4375300
2018-01-17,78.360001,78.699997,77.620003,78.410004,72.548668,4125200
2018-01-18,78.639999,78.639999,77.050003,77.339996,71.558655,4757600
2018-01-19,77.470001,77.820000,76.639999,76.820000,71.077538,4536700
2018-01-22,77.160004,77.650002,76.849998,76.949997,71.197807,3720100
2018-01-23,77.750000,78.449997,77.239998,77.709999,71.900993,4033900
2018-01-24,77.699997,77.730003,77.209999,77.239998,71.466133,3601700
2018-01-25,77.230003,79.220001,77.199997,78.900002,73.002037,4842900
2018-01-26,78.930000,79.040001,78.059998,78.830002,72.937279,3944500
2018-01-29,78.550003,78.570000,77.169998,77.290001,71.512390,4901300
2018-01-30,77.099998,77.910004,76.970001,77.660004,71.854729,3969200
2018-01-31,77.779999,78.580002,77.250000,78.500000,72.631935,4007000
2018-02-01,78.320000,78.650002,76.669998,76.839996,71.096031,4328600
2018-02-02,76.820000,77.730003,76.430000,76.529999,70.809204,4252400
2018-02-05,76.650002,77.589996,75.730003,75.809998,70.143028,5852100
2018-02-06,75.150002,75.250000,72.930000,74.489998,68.921707,7810800
2018-02-07,74.459999,75.559998,74.180000,74.400002,68.838432,4840400
2018-02-08,74.089996,75.870003,73.800003,74.320000,68.764404,6160100
2018-02-09,74.320000,76.720001,73.860001,76.099998,70.411346,6312300
2018-02-12,76.120003,77.250000,75.660004,76.809998,71.068275,4373100
2018-02-13,76.540001,77.300003,75.820000,77.080002,71.318092,3808000
2018-02-14,76.620003,76.660004,75.449997,75.480003,69.837708,4563000
2018-02-15,74.769997,76.209999,74.660004,76.199997,71.345116,3923800
2018-02-16,76.070000,76.889999,75.769997,76.699997,71.813263,3796600
2018-02-20,76.209999,76.620003,74.820000,75.690002,70.867615,4017000
2018-02-21,75.580002,76.500000,75.300003,75.330002,70.530556,4242800
2018-02-22,75.480003,76.250000,75.169998,75.540001,70.727173,3103900
2018-02-23,75.449997,77.300003,75.379997,77.220001,72.300133,2839100
2018-02-26,79.110001,79.629997,77.650002,77.919998,72.955536,5253800
2018-02-27,77.879997,78.290001,76.330002,76.330002,71.466843,4088600
